position,name,country
FW,Kōki Ogawa,JPN
DF,Ayumu Seko,JPN
DF,Hiroki Itō,JPN
DF,Takehiro Tomiyasu,JPN
GK,Tomoki Hayakawa,JPN
MF,Kaishū Sano,JPN
DF,Junnosuke Suzuki,JPN
FW,Kento Shiogai,JPN
GK,Bart Verbruggen,NED
DF,Jurriën Timber,NED
MF,Marten de Roon,NED
DF,Virgil van Dijk,NED
DF,Nathan Aké,NED
DF,Jan Paul van Hecke,NED
MF,Justin Kluivert,NED
MF,Ryan Gravenberch,NED
FW,Wout Weghorst,NED
FW,Memphis Depay,NED
FW,Cody Gakpo,NED
DF,Mats Wieffer,NED
GK,Robin Roefs,NED
MF,Tijjani Reijnders,NED
DF,Micky van de Ven,NED
MF,Guus Til,NED
FW,Noa Lang,NED
FW,Donyell Malen,NED
FW,Brian Brobbey,NED
MF,Teun Koopmeiners,NED
MF,Frenkie de Jong,NED
DF,Denzel Dumfries,NED
GK,Mark Flekken,NED
FW,Crysencio Summerville,NED
DF,Jorrel Hato,NED
MF,Quinten Timber,NED
GK,Jacob Widell Zetterström,SWE
DF,Gustaf Lagerbielke,SWE
DF,Victor Lindelöf,SWE
DF,Isak Hien,SWE
DF,Gabriel Gudmundsson,SWE
DF,Herman Johansson,SWE
MF,Lucas Bergvall,SWE
DF,Daniel Svensson,SWE
FW,Alexander Isak,SWE
MF,Benjamin Nygren,SWE
FW,Anthony Elanga,SWE
GK,Viktor Johansson,SWE
MF,Ken Sema,SWE
DF,Hjalmar Ekdal,SWE
DF,Carl Starfelt,SWE
MF,Jesper Karlström,SWE
FW,Viktor Gyökeres,SWE
MF,Yasin Ayari,SWE
MF,Mattias Svanberg,SWE
DF,Eric Smith,SWE
DF,Alexander Bernhardsson,SWE
MF,Besfort Zeneli,SWE
GK,Kristoffer Nordfeldt,SWE
DF,Elliot Stroud,SWE
FW,Gustaf Nilsson,SWE
FW,Taha Ali,SWE
GK,Mouhib Chamakh,TUN
DF,Ali Abdi,TUN
DF,Montassar Talbi,TUN
DF,Omar Rekik,TUN
DF,Adem Arous,TUN
DF,Dylan Bronn,TUN
FW,Elias Achouri,TUN
FW,Elias Saad,TUN
FW,Hazem Mastouri,TUN
MF,Hannibal Mejbri,TUN
MF,Ismaël Gharbi,TUN
DF,Mortadha Ben Ouanes,TUN
MF,Rani Khedira,TUN
MF,Khalil Ayari,TUN
MF,Hadj Mahmoud,TUN
GK,Aymen Dahmen,TUN
MF,Ellyes Skhiri,TUN
FW,Rayan Elloumi,TUN
FW,Firas Chaouat,TUN
DF,Yan Valery,TUN
DF,Mohamed Amine Ben Hamida,TUN
GK,Sabri Ben Hessen,TUN
DF,Moutaz Neffati,TUN
DF,Raed Chikhaoui,TUN
MF,Anis Ben Slimane,TUN
MF,Sebastian Tounekti,TUN
GK,Thibaut Courtois,BEL
DF,Zeno Debast,BEL
DF,Arthur Theate,BEL
DF,Brandon Mechele,BEL
DF,Maxim De Cuyper,BEL
MF,Axel Witsel,BEL
MF,Kevin De Bruyne,BEL
MF,Youri Tielemans,BEL
FW,Romelu Lukaku,BEL
FW,Leandro Trossard,BEL
FW,Jérémy Doku,BEL
GK,Senne Lammens,BEL
GK,Mike Penders,BEL
FW,Dodi Lukébakio,BEL
DF,Thomas Meunier,BEL
DF,Koni De Winter,BEL
FW,Charles De Ketelaere,BEL
DF,Joaquin Seys,BEL
MF,Diego Moreira,BEL
MF,Hans Vanaken,BEL
DF,Timothy Castagne,BEL
MF,Alexis Saelemaekers,BEL
MF,Nicolas Raskin,BEL
MF,Amadou Onana,BEL
DF,Nathan Ngoy,BEL
FW,Matias Fernandez-Pardo,BEL
GK,Mohamed El Shenawy,EGY
DF,Yasser Ibrahim,EGY
DF,Mohamed Hany,EGY
DF,Hossam Abdelmaguid,EGY
DF,Ramy Rabia,EGY
DF,Mohamed Abdelmonem,EGY
FW,Trézéguet,EGY
MF,Emam Ashour,EGY
FW,Hamza Abdelkarim,EGY
FW,Mohamed Salah,EGY
MF,Mostafa Ziko,EGY
FW,Haissem Hassan,EGY
DF,Ahmed Fatouh,EGY
MF,Hamdy Fathy,EGY
DF,Karim Hafez,EGY
GK,El Mahdy Soliman,EGY
MF,Mohanad Lasheen,EGY
MF,Nabil Emad,EGY
MF,Marwan Attia,EGY
FW,Ibrahim Adel,EGY
MF,Mahmoud Saber,EGY
FW,Omar Marmoush,EGY
GK,Mostafa Shobeir,EGY
DF,Tarek Alaa,EGY
FW,Zizo,EGY
GK,Mohamed Alaa,EGY
GK,Alireza Beiranvand,IRN
DF,Saleh Hardani,IRN
DF,Ehsan Hajsafi,IRN
DF,Shojae Khalilzadeh,IRN
DF,Milad Mohammadi,IRN
MF,Saeid Ezatolahi,IRN
MF,Alireza Jahanbakhsh,IRN
MF,Mohammad Mohebi,IRN
FW,Mehdi Taremi,IRN
FW,Mehdi Ghayedi,IRN
FW,Ali Alipour,IRN
GK,Payam Niazmand,IRN
DF,Hossein Kanaanizadegan,IRN
MF,Saman Ghoddos,IRN
MF,Rouzbeh Cheshmi,IRN
MF,Mehdi Torabi,IRN
DF,Aria Yousefi,IRN
FW,Amirhossein Hosseinzadeh,IRN
DF,Ali Nemati,IRN
FW,Shahriyar Moghanlou,IRN
MF,Mohammad Ghorbani,IRN
GK,Hossein Hosseini,IRN
DF,Ramin Rezaeian,IRN
FW,Dennis Eckert,IRN
DF,Danial Eiri,IRN
MF,Amirmohammad Razzaghinia,IRN
GK,Max Crocombe,NZL
DF,Tim Payne,NZL
DF,Francis de Vries,NZL
DF,Tyler Bindon,NZL
DF,Michael Boxall,NZL
MF,Joe Bell,NZL
MF,Matthew Garbett,NZL
MF,Marko Stamenić,NZL
FW,Chris Wood,NZL
MF,Sarpreet Singh,NZL
MF,Elijah Just,NZL
GK,Alex Paulsen,NZL
DF,Liberato Cacace,NZL
MF,Alex Rufer,NZL
DF,Nando Pijnaker,NZL
DF,Finn Surman,NZL
FW,Kosta Barbarouses,NZL
FW,Ben Waine,NZL
MF,Ben Old,NZL
MF,Callum McCowatt,NZL
FW,Jesse Randall,NZL
GK,Michael Woud,NZL
MF,Ryan Thomas,NZL
DF,Callan Elliot,NZL
MF,Lachlan Bayliss,NZL
DF,Tommy Smith,NZL
GK,Vozinha,CPV
DF,Stopira,CPV
DF,Diney,CPV
DF,Roberto Lopes,CPV
DF,Logan Costa,CPV
MF,Kevin Pina,CPV
MF,Jovane Cabral,CPV
MF,João Paulo,CPV
FW,Gilson Benchimol,CPV
MF,Jamiro Monteiro,CPV
MF,Garry Rodrigues,CPV
GK,Márcio Rosa,CPV
DF,Sidny Lopes Cabral,CPV
MF,Deroy Duarte,CPV
MF,Laros Duarte,CPV
MF,Yannick Semedo,CPV
MF,Willy Semedo,CPV
MF,Telmo Arcanjo,CPV
FW,Dailon Livramento,CPV
FW,Ryan Mendes,CPV
MF,Nuno da Costa,CPV
DF,Steven Moreira,CPV
GK,CJ dos Santos,CPV
DF,Wagner Pina,CPV
DF,Kelvin Pires,CPV
MF,Hélio Varela,CPV
GK,Nawaf Al-Aqidi,KSA
DF,Ali Majrashi,KSA
DF,Ali Lajami,KSA
DF,Abdulelah Al-Amri,KSA
DF,Hassan Al-Tambakti,KSA
